date, pm10
2023/11/1, 60
2023/11/2, 60
2023/11/3, 63
2023/11/4, 45
2023/11/5, 49
2023/11/6, 52
2023/11/7, 61
2023/11/8, 66
2023/11/9, 
2023/11/10, 58
2023/11/11, 52
2023/11/12, 59
2023/11/13, 50
2023/11/14, 47
2023/11/15, 51
2023/11/16, 47
2023/10/1, 65
2023/10/2, 51
2023/10/3, 61
2023/10/4, 55
2023/10/5, 58
2023/10/6, 68
2023/10/7, 56
2023/10/8, 56
2023/10/9, 52
2023/10/10, 47
2023/10/11, 59
2023/10/12, 59
2023/10/13, 51
2023/10/14, 52
2023/10/15, 56
2023/10/16, 54
2023/10/17, 62
2023/10/18, 55
2023/10/19, 59
2023/10/20, 51
2023/10/21, 55
2023/10/22, 51
2023/10/23, 63
2023/10/24, 57
2023/10/25, 69
2023/10/26, 67
2023/10/27, 65
2023/10/28, 66
2023/10/29, 58
2023/10/30, 63
2023/10/31, 61
2023/7/1, 
2023/7/2, 
2023/7/3, 
2023/7/4, 
2023/7/5, 
2023/7/6, 
2023/7/7, 
2023/7/8, 
2023/7/9, 
2023/7/10, 
2023/7/11, 
2023/7/12, 
2023/7/13, 
2023/7/14, 
2023/7/15, 63
2023/7/16, 
2023/7/17, 
2023/7/24, 
2023/7/25, 
2023/7/26, 
2023/7/27, 
2023/7/28, 
2023/7/29, 
2023/7/30, 
2023/7/31, 102
2023/8/1, 55
2023/8/2, 65
2023/8/3, 68
2023/8/4, 60
2023/8/5, 88
2023/8/6, 81
2023/8/7, 69
2023/8/8, 66
2023/8/9, 67
2023/8/10, 69
2023/8/11, 60
2023/8/12, 57
2023/8/13, 92
2023/8/14, 73
2023/8/15, 66
2023/8/16, 64
2023/8/17, 56
2023/8/18, 
2023/8/19, 
2023/8/20, 61
2023/8/21, 66
2023/8/22, 83
2023/8/23, 69
2023/8/24, 65
2023/8/25, 77
2023/8/26, 79
2023/8/27, 77
2023/8/28, 82
2023/8/29, 72
2023/8/30, 68
2023/8/31, 69
2023/9/1, 68
2023/9/2, 62
2023/9/3, 58
2023/9/4, 67
2023/9/5, 63
2023/9/6, 63
2023/9/7, 67
2023/9/8, 61
2023/9/9, 57
2023/9/10, 58
2023/9/11, 55
2023/9/12, 58
2023/9/13, 54
2023/9/14, 59
2023/9/15, 61
2023/9/16, 55
2023/9/17, 56
2023/9/18, 57
2023/9/19, 62
2023/9/20, 60
2023/9/21, 
2023/9/22, 
